tick_index,D_value,phase_label
0,102.6722634275055,CHAOS
1,103.60549310041428,CHAOS
2,101.44664062099457,CHAOS
3,104.33213543596268,CHAOS
4,103.95530653821183,CHAOS
5,103.71118520431837,CHAOS
6,103.01330888744081,CHAOS
7,102.74833012235642,CHAOS
8,102.73005312338299,CHAOS
9,103.23257095774078,CHAOS
10,103.19851229947697,CHAOS
11,102.75594384800117,CHAOS
12,104.10960597214479,CHAOS
13,103.54031141292027,CHAOS
14,103.97927625159454,CHAOS
15,103.60352209914326,CHAOS
16,103.53853397243164,CHAOS
17,104.02291674590391,CHAOS
18,102.96578169645421,CHAOS
19,102.25613987677518,CHAOS
20,103.58603603075476,CHAOS
21,102.89796425804923,CHAOS
22,102.89074041503233,CHAOS
23,102.79406123829337,CHAOS
24,102.17444345906986,CHAOS
25,102.33438344654869,CHAOS
26,103.16368974414826,CHAOS
27,102.81762592309727,CHAOS
28,104.26119569869321,CHAOS
29,102.87665125028947,CHAOS
30,103.33645565354067,CHAOS
31,102.41135525740455,CHAOS
32,103.16974575381671,CHAOS
33,103.11961600130867,CHAOS
34,102.59986274620505,CHAOS
35,103.81821582974827,CHAOS
36,103.1105609547559,CHAOS
37,104.48482613897997,CHAOS
38,104.06594114148083,CHAOS
39,102.46545193105585,CHAOS
40,104.26421561887517,CHAOS
41,102.65076699014215,CHAOS
42,102.72882534179575,CHAOS
43,102.89503368847903,CHAOS
44,102.99026602194057,CHAOS
45,102.4746706655278,CHAOS
46,105.03999023649104,CHAOS
47,102.30092895427255,CHAOS
48,103.46924879241382,CHAOS
49,102.28204644396165,CHAOS
50,102.24916891007815,CHAOS
51,103.78650086747113,CHAOS
52,103.75642162278231,CHAOS
53,105.00199196013058,CHAOS
54,102.38806160149069,CHAOS
55,103.00568592711505,CHAOS
56,104.55387742358712,CHAOS
57,102.26955010872112,CHAOS
58,102.34998520113777,CHAOS
59,101.84507920617945,CHAOS
60,102.08710112518983,CHAOS
61,102.12164058454064,CHAOS
62,101.99728321665371,CHAOS
63,103.00148453350965,CHAOS
64,103.77850724110884,CHAOS
65,104.81474310103023,CHAOS
66,104.38088305036321,CHAOS
67,102.7695741077872,CHAOS
68,102.22394229907428,CHAOS
69,104.27078186250237,CHAOS
70,102.21193015185749,CHAOS
71,104.08976731700673,CHAOS
72,103.30010665744894,CHAOS
73,102.500509873278,CHAOS
74,102.58138634366989,CHAOS
75,102.57946247460983,CHAOS
76,102.59744123342178,CHAOS
77,102.94327908410465,CHAOS
78,103.83846997909882,CHAOS
